,Strategy,Application,Module,Device,Instances,Delay,Network,EnergyConsumption,DeviceMaxCPU,DeviceCPUUsage,ModuleMIPS,ModuleRAM,TupleCpuLength,SEED,UplinkBandwidth,DownlinkBandwidth,UplinkLatency,TupleNwLength,DeviceLevel,Simulation,Rate,ModuleCpuLoad
2696,CB-E,DCNS,object_tracker,d-0,3,151.48,8422.35,10290.76,4000.0,3803.77,300,10,1086.79,1282538739,10000.0,10000.0,50.0,100.0,1,4,0.5,543.395
1858,Edgewards,DCNS,user_interface,cloud,8,0.0,451301.7,50521.0,44800.0,13150.19,200,10,543.4,1282538739,100.0,10000.0,0.0,2000.0,0,8,0.025,13.585
1426,Edgewards,DCNS,object_detector,d-0,2,28.07,20852.65,9175.74,4000.0,3267.16,550,10,2178.11,633816299,10000.0,10000.0,50.0,2000.0,1,2,0.5,1089.055
4027,MGA,VRGame,connector,d-0,7,0.0,13292.25,4332.45,4000.0,1583.4,100,10,1028.18,200496737,10000.0,10000.0,50.0,1000.0,1,7,0.01,10.2818
1280,Edgewards,Translation_Service,storageModule,cloud,11,0.0,178788.25,18953.45,44800.0,5089.5,1000,10,1028.18,200496737,100.0,10000.0,0.0,1000.0,0,11,0.1,102.818
1455,Edgewards,Translation_Service,processingModule,d-1-0,3,44.4,1171.5,7847.24,2000.0,1446.6,2500,10,3750.43,1954324947,10000.0,10000.0,25.0,500.0,1,3,0.1,375.043
3292,CB-E,DCNS,object_detector,d-1-0,1,781.99,6793.45,8807.77,2000.0,1625.57,550,10,2167.42,1329531353,10000.0,10000.0,25.0,2000.0,1,9,0.5,1083.71
1281,Edgewards,Translation_Service,processingModule,cloud,11,374.94,178788.25,18953.45,44800.0,5089.5,2500,10,3598.64,200496737,100.0,10000.0,0.0,500.0,0,11,0.1,359.86400000000003
3221,CB-E,DCNS,object_tracker,cloud,5,417.65,7459.45,35217.23,44800.0,9211.52,300,10,1069.55,428956419,100.0,10000.0,0.0,100.0,0,9,0.5,534.775
500,ELSA,Translation_Service,processingModule,d-0,3,74.98,8523.5,3419.12,4000.0,1243.05,2500,10,3222.71,794161987,10000.0,10000.0,50.0,500.0,1,3,0.1,322.271
1722,Edgewards,Translation_Service,processingModule,d-0,6,104.8,18289.5,7996.49,4000.0,2934.34,2500,10,3803.77,1282538739,10000.0,10000.0,50.0,500.0,1,6,0.1,380.377
2431,CB-E,DCNS,object_tracker,d-1-0,1,9.33,6546.55,8693.78,2000.0,1604.33,300,10,1069.55,428956419,10000.0,10000.0,25.0,100.0,1,2,0.5,534.775
82,ELSA,VRGame,connector,d-1-0,10,0.0,34830.0,5489.34,2000.0,1007.26,100,10,1071.55,1954324947,10000.0,10000.0,25.0,1000.0,1,10,0.01,10.7155
1459,Edgewards,DCNS,user_interface,cloud,3,0.0,164397.2,19283.64,44800.0,4670.21,200,10,514.62,1145661099,100.0,10000.0,0.0,2000.0,0,3,0.025,12.8655
1933,CB-E,VRGame,concentration_calculator,d-1-0,1,33.14,132.5,1346.28,2000.0,235.3,350,10,3743.43,428956419,10000.0,10000.0,25.0,500.0,1,1,0.06,224.6058
227,ELSA,Translation_Service,storageModule,d-0,11,0.0,29978.75,10584.66,4000.0,3913.29,1000,10,920.78,794161987,10000.0,10000.0,50.0,1000.0,1,11,0.1,92.078
4011,MGA,Translation_Service,storageModule,d-0,7,0.0,21747.0,7787.16,4000.0,2870.8,1000,10,911.37,1835732737,10000.0,10000.0,50.0,1000.0,1,7,0.1,91.137
1751,Edgewards,VRGame,concentration_calculator,d-1-0,7,36.93,3406.5,7693.74,2000.0,1417.99,350,10,3222.71,794161987,10000.0,10000.0,25.0,500.0,1,7,0.06,193.3626
313,ELSA,Translation_Service,storageModule,cloud,2,0.0,27757.5,7389.86,44800.0,1646.8,1000,10,1029.25,1145661099,100.0,10000.0,0.0,1000.0,0,12,0.1,102.925
3176,CB-E,Translation_Service,storageModule,d-1-0,5,0.0,2520.0,10568.02,2000.0,1953.55,1000,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,8,0.1,102.818
944,ELSA,DCNS,object_tracker,d-0,2,149.85,84743.05,9966.94,4000.0,3683.1,300,10,920.78,794161987,10000.0,10000.0,50.0,100.0,1,8,0.5,460.39
823,ELSA,DCNS,user_interface,cloud,7,0.0,72131.2,29269.37,44800.0,7594.62,200,10,535.78,1954324947,100.0,10000.0,0.0,2000.0,0,7,0.025,13.3945
2609,CB-E,DCNS,object_detector,d-1-0,1,232.34,9269.35,8693.78,2000.0,1604.33,550,10,2139.1,428956419,10000.0,10000.0,25.0,2000.0,1,4,0.5,1069.55
877,ELSA,DCNS,user_interface,cloud,7,0.0,72931.2,29725.68,44800.0,7718.67,200,10,544.53,633816299,100.0,10000.0,0.0,2000.0,0,7,0.025,13.61325
907,ELSA,DCNS,object_detector,d-0,2,282.1,82377.05,10128.84,4000.0,3743.43,550,10,2139.1,428956419,10000.0,10000.0,50.0,2000.0,1,8,0.5,1069.55
3073,CB-E,VRGame,concentration_calculator,d-1-0,7,51.04,3372.0,9065.88,2000.0,1673.66,350,10,3803.77,1282538739,10000.0,10000.0,25.0,500.0,1,7,0.06,228.2262
4096,MGA,VRGame,concentration_calculator,d-0,8,77.51,15560.75,4939.45,4000.0,1809.6,350,10,3598.64,200496737,10000.0,10000.0,50.0,500.0,1,8,0.06,215.9184
3688,MGA,Translation_Service,processingModule,d-0,2,75.53,5382.5,2713.64,4000.0,980.15,2500,10,3811.69,633816299,10000.0,10000.0,50.0,500.0,1,2,0.1,381.169
3986,MGA,DCNS,user_interface,cloud,7,0.0,386372.8,43789.89,44800.0,11323.89,200,10,534.78,428956419,100.0,10000.0,0.0,2000.0,0,7,0.025,13.3695
1563,Edgewards,VRGame,connector,d-1-0,4,0.0,1246.0,5226.94,2000.0,958.37,100,10,1089.05,633816299,10000.0,10000.0,25.0,1000.0,1,4,0.01,10.8905
2886,CB-E,DCNS,object_tracker,d-1-0,2,289.33,10972.05,9966.94,2000.0,1841.55,300,10,920.78,794161987,10000.0,10000.0,25.0,100.0,1,6,0.5,460.39
262,ELSA,VRGame,connector,d-1-0,11,0.0,38041.5,5392.15,2000.0,989.15,100,10,1041.21,1410143363,10000.0,10000.0,25.0,1000.0,1,11,0.01,10.4121
1823,Edgewards,DCNS,user_interface,cloud,8,0.0,445161.7,43697.52,44800.0,11141.38,200,10,460.39,794161987,100.0,10000.0,0.0,2000.0,0,8,0.025,11.50975
2416,CB-E,DCNS,object_tracker,cloud,8,482.12,7367.85,53903.64,44800.0,14291.32,300,10,1086.79,1282538739,100.0,10000.0,0.0,100.0,0,12,0.5,543.395
3681,MGA,Translation_Service,processingModule,d-0,2,75.36,5270.5,2566.63,4000.0,925.36,2500,10,3598.64,200496737,10000.0,10000.0,50.0,500.0,1,2,0.1,359.86400000000003
4007,MGA,DCNS,user_interface,cloud,7,0.0,388836.8,38193.9,44800.0,9649.09,200,10,455.68,1835732737,100.0,10000.0,0.0,2000.0,0,7,0.025,11.392
